Transaction ID,Amount,Date,Description
99634998,"$1,016.28",6/2/2022 00:15:26,Quia quibusdam aut quos harum in. Molestias tempore fugit iure deleniti cumque sed.
17300862,"$1,339.86",1/23/2022 08:49:14,Facilis quam ex eaque corrupti illum quis et. Earum aliquam voluptatem at.
20550881,"$2,386.98",12/29/2021 07:50:40,Ut eos ipsam voluptatem unde quia dolores blanditiis. Nihil neque ipsum quis tempore et laudantium.
73488272,"$2,452.77",8/4/2022 08:47:16,Qui in sint voluptatem dolorum tempora. Quo vero officiis rerum vero harum.
66456814,-$990.37,6/30/2022 23:45:38,Quis aliquam pariatur perspiciatis. Ea libero nulla rerum voluptatem et aut pariatur error.
1574635,-$417.00,9/1/2021 01:39:16,Aut nobis dolor sit ipsum sit tenetur. Adipisci sit omnis et. Minima sit iure a rerum distinctio.
3000026,"$2,300.77",11/21/2021 19:49:40,Nobis perferendis enim quia qui. Earum excepturi nesciunt inventore voluptatibus et.
34179252,$477.31,8/30/2021 02:37:24,Fugit debitis quia id rem aut dolores. Rerum nemo qui consequatur. Dolorum est qui aut saepe.
30888357,"$2,425.68",9/30/2021 19:36:45,Ab reiciendis sint ab quos quisquam nesciunt soluta. Rerum id soluta perferendis alias.
1644611,"$1,014.49",12/23/2021 17:53:46,Animi quo culpa ut facere. Rerum optio error nemo eos.
58184751,"$1,516.97",9/9/2021 09:01:52,Commodi ab quia corporis sint ipsam recusandae. Soluta totam praesentium illum et nam similique.
88937240,"$1,892.71",8/10/2022 16:36:05,Et vel est nisi voluptatibus in sequi quos. Vel sunt sit enim minus quia cumque incidunt omnis.
57409296,$255.58,1/17/2022 16:10:01,Et est sit quae eum sint. Rerum praesentium nulla inventore quo totam minima aperiam.
38834925,"-$1,931.14",12/22/2021 21:40:38,Autem vero dolore tempora. Vero sed quo magnam. Eos recusandae rem quis.
58053219,"$1,278.27",8/12/2022 05:11:30,Et et suscipit reiciendis. Quae consequatur totam voluptas quod.
68851728,"-$1,094.16",9/21/2021 01:56:31,Tenetur placeat quia ut explicabo. Vel nam est fugiat eveniet molestiae nisi id.
72202358,-$245.18,10/15/2021 04:19:27,Tempora itaque ipsam et est sed pariatur. Quisquam accusantium natus aut eos dolor rerum.
9475057,"-$1,271.51",1/16/2022 10:10:57,Veniam enim eum pariatur qui voluptates. Fuga quia dolorum dolor tenetur.
6819308,"-$1,447.81",6/2/2022 15:53:01,Natus mollitia amet ut sed est. Quo porro rerum ea dolores. Dolorum aut aut dignissimos quas porro.
30396908,$787.38,5/9/2022 11:04:47,Et rerum tenetur est fuga est. Qui ut repellendus at. Qui error velit est.
87025389,$850.10,6/20/2022 03:37:51,Fugit qui iste accusantium pariatur. Aperiam quod culpa atque tenetur non.
93357834,$386.65,10/18/2021 23:36:06,Voluptatem nobis porro accusamus sed. Sint aut consectetur et nam voluptatem quos ea aut.
16554968,"$1,260.36",4/10/2022 09:56:50,Non harum commodi nulla itaque harum. Consectetur magnam aut sed aliquam.
97827021,"-$2,228.69",6/17/2022 10:59:37,Suscipit esse dignissimos ut. Dolore minus et eum velit.
34559208,$360.36,1/21/2022 14:22:07,Voluptatum qui voluptas dolores. Impedit impedit qui et.
85911375,"$1,247.81",4/24/2022 11:37:42,Quis ut neque quis. Quo ut et rerum hic delectus amet.
7266990,$305.57,2/11/2022 03:24:39,Omnis ab impedit laboriosam veniam. Neque voluptate libero id quos rem.
93291921,"$1,477.63",7/6/2022 12:06:13,Et quia repellendus nemo fugiat et tenetur qui. Veniam quibusdam facilis provident cum aut.
19759253,$727.06,12/21/2021 21:06:41,Minus reprehenderit reprehenderit est voluptas esse sint. Omnis possimus tempore qui quisquam.
24014785,"-$1,409.52",2/11/2022 22:56:19,Et quo quidem aut ratione error minima. Praesentium ut tempore quia ab. Ut iure ut culpa.
95501458,$496.16,6/5/2022 18:28:37,Ut nihil saepe dicta in est corporis hic mollitia. Porro assumenda voluptate sed voluptate.
26289378,$971.35,2/4/2022 23:06:40,Voluptates aut tempora in. Commodi autem quos adipisci quis. Accusamus atque dolores eius enim quo.
30791636,$725.87,3/5/2022 22:56:04,Ut sed laborum possimus. Iusto iste corrupti dolor soluta. Hic esse quibusdam amet neque earum.
27390892,$467.79,7/22/2022 12:11:39,Earum ea odit ab quam sint vero cum numquam. Omnis alias nihil doloribus quae velit.
35524201,-$593.82,3/18/2022 01:01:56,Provident illo magni facere quas corrupti et qui. Laborum harum id quia incidunt placeat.
44851103,"$1,188.88",9/22/2021 22:12:31,Laboriosam sed et saepe optio. Aperiam dolore labore voluptatem in qui et.
68064079,"-$1,955.09",9/17/2021 00:45:57,Magnam veniam cum odio quisquam velit eos. Quis dolor corporis fugit et ea adipisci dolores.
42069168,"$1,149.51",4/23/2022 11:59:20,Nihil possimus reiciendis deleniti quia omnis eaque enim. Saepe ut maxime et sed beatae.
